49,11,15
53,53,89
45,11,93
10,29,29
38,80,67
54,99,42
58,37,18
98,27,15
89,87,94
26,54,61
82,18,83
38,76,42
12,30,30
96,52,73
74,53,46
49,27,91
94,52,14
100,92,76
43,27,13
13,91,18
99,40,22
73,14,18
40,46,91
40,46,91
49,30,67
57,31,37
44,87,17
30,10,94
81,48,67
48,40,56
40,85,26
14,33,88
15,33,51
53,77,48
41,31,59
67,83,41
37,79,10
63,72,24
34,74,40
47,31,77
51,13,31
37,49,73
77,54,56
76,60,72
69,11,14
74,87,50
30,41,24
76,42,29
25,27,95
92,48,64
95,83,20
77,25,43
83,30,94
66,46,12
22,89,83
77,76,83
52,47,99
16,98,64
71,60,32
89,97,100
21,49,87
40,33,100
26,85,49
81,76,63
33,49,19
12,38,38
90,93,21
16,56,90
29,93,28
22,32,38
33,12,34
95,69,72
82,64,34
84,81,17
34,60,79
45,70,58
93,37,34
69,24,30
38,12,64
71,57,82
35,93,27
50,80,79
12,52,60
25,23,65
53,94,82
61,57,84
81,50,76
21,45,27
33,60,85
94,62,99
59,47,26
77,30,13
74,43,87
92,15,43
60,54,46
30,91,71
59,55,96
80,55,74
42,43,57
44,52,59
84,98,43
53,100,20
16,44,47
69,91,10
98,58,58
48,70,58
96,100,88
49,80,84
42,26,44
62,66,77
52,100,20
76,73,10
64,23,18
32,11,38
20,19,40
14,94,82
19,14,27
55,49,28
67,47,75
82,41,11
90,50,32
16,91,37
25,31,11
94,31,92
100,74,66
51,50,19
33,38,17
70,99,81
74,88,13
13,41,73
54,37,16
82,38,15
19,74,98
26,43,72
25,95,30
93,57,30
39,15,58
91,36,94
11,14,74
82,79,19
37,12,81
55,42,85
42,73,13
65,95,98
42,63,93
88,25,38
14,91,12
29,43,53
82,16,72
29,63,26
69,29,72
37,38,29
94,40,22
50,62,14
25,64,66
38,20,97
90,63,65
17,83,27
54,49,98
43,91,44
14,62,63
54,76,50
87,90,53
23,75,28
56,81,22
33,52,97
18,59,36
87,37,74
16,97,66
65,72,47
95,45,65
64,84,57
51,27,84
32,30,77
80,74,13
48,13,68
48,11,61
19,39,60
66,51,77
94,62,84
58,81,48
61,85,22
89,67,23
95,63,25
85,54,41
63,100,85
41,63,65
81,89,71
11,19,16
44,51,30
96,90,36
98,51,79
11,88,66
52,71,98
22,68,40
49,82,81
86,82,23
92,33,29
75,19,16
47,35,74
20,80,33
99,38,39
55,92,72
44,97,93
97,35,25
29,41,44
100,64,89
92,16,40
14,35,78
54,75,27
48,57,76
13,53,24
70,30,79
66,97,90
64,64,28
59,50,30
77,82,62
95,65,92
